standard_exercise_name,best_weight_kg,best_reps,best_volume_kg,best_e1rm_kg,pr_date
Barbell Bench Press,10.0,8,80.0,12.67,2026-05-17
Barbell Row,30.0,12,360.0,42.0,2026-06-03
Barbell Squat,20.0,12,240.0,28.0,2026-05-30
Bulgarian Split Squat,10.0,6,60.0,12.0,2026-06-06
Cable Core Rotation [UNCONFIRMED],15.0,12,180.0,21.0,2026-05-24
Cable Crunch,40.0,12,480.0,56.0,2026-06-02
Chest Fly,40.0,12,480.0,56.0,2026-05-17
Dumbbell Curl,10.0,10,100.0,13.33,2026-05-24
Dumbbell Row,11.0,24,264.0,19.8,2026-05-24
Dumbbell Shoulder Press,10.0,12,90.0,13.0,2026-05-17
Farmers Carry [UNCONFIRMED],40.0,4,160.0,45.33,2026-05-24
Hanging Leg Raise,0,8,0,0,
Hip Abduction,18.0,12,180.0,24.0,2026-05-30
Hip Adduction,27.0,12,324.0,37.8,2026-06-06
Hip Thrust,31.0,12,372.0,43.4,2026-06-06
Incline Dumbbell Press,10.0,12,120.0,14.0,2026-06-02
Lat Pulldown,33.0,12,396.0,46.2,2026-06-03
Lateral Raise,10.0,12,120.0,14.0,2026-06-02
Leg Extension,10.0,12,120.0,14.0,2026-06-06
Lunge,20.0,10,200.0,26.67,2026-05-30
Lying Leg Curl,35.0,12,360.0,42.0,2026-06-06
Overhead Triceps Extension,15.0,12,180.0,21.0,2026-05-17
Reverse Curl [UNCONFIRMED],30.0,15,450.0,45.0,2026-05-24
Reverse Fly,15.0,12,135.0,19.5,2026-05-17
Romanian Deadlift,30.0,12,360.0,42.0,2026-05-30
Seated Cable Row,25.0,12,300.0,35.0,2026-05-24
Seated Leg Curl,25.0,12,300.0,35.0,2026-05-30
Skull Crusher,20.0,14,280.0,29.33,2026-06-02
Standing Calf Raise [UNCONFIRMED],40.0,12,240.0,48.0,2026-05-30
Straight Arm Pulldown,30.0,10,300.0,40.0,2026-06-03
Triceps Kickback [UNCONFIRMED],5.0,24,120.0,9.0,2026-06-02
Triceps Pushdown,25.0,12,300.0,35.0,2026-05-17
